E_final,E_max,E_min,E_mean,E_std,L_final,L_max,L_min,L_mean,L_std,P_final,P_max,P_min,P_mean,P_std,D_final,D_max,D_min,D_mean,D_std,H_final,H_max,H_min,H_mean,H_std,F_final,F_max,F_min,F_mean,F_std,R_final,R_max,R_min,R_mean,R_std,total_pop_final,total_pop_max,stability,healthy_ratio
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.518711669048,0.2841212420487991,2172.4669085970118,2255.528295952941,760.0948252950377,11798.600830559348,1.7047836879632563,4431.124496572556,4473.471365149671,7.932733102986805,1445.9762374764825,0.0073419734218289285,503.433766750345,572.7679175951861,4176.53732650547,17647.929732057237,41.31243109218861,6888.772673871359,6508.666290123096,13632.144759002043,14005.263764675306,1200,6561.421800760181,4119.382311854881,20141.2252731743,25833.5420777368,2703.2500566538774,11791.404147262558,6902.109131090845,18835.315425446577,47833.43111874416,0.7180904009378654,1.0
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.518710446806,0.2841212420487991,2168.6886422002576,2256.1032749414376,760.094820516646,11798.526213283534,1.7047836875792035,4423.439858724435,4474.338321419956,7.9324571664260475,1445.8064613406223,0.007341973420155871,503.0984602820786,572.6414497108624,4175.974329783441,17642.3428528926,41.30842490811596,6876.26655164981,6508.318038591058,13631.319146503125,14004.379232508385,1200,6555.015581089758,4124.280060940505,19955.601182841623,25647.408547441177,2717.1899067712034,11716.782591880048,6866.300209906098,18833.926535510676,47822.27044325325,0.7192386907081247,1.2142857142857142
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.518648458103,0.2841212420487991,2162.101707668906,2254.9808899423588,760.094800792856,11798.013406544984,1.7047836859905114,4410.042678072087,4471.84301358196,7.931594615846053,1445.0010921524238,0.007341973413235025,502.053799330931,572.1147103651605,4174.913433561821,17630.337474231554,41.295666320405644,6854.429021887693,6502.397154396403,13629.518520858614,14002.421015293834,1200,6544.437164671624,4130.584769553232,19621.6878645906,25312.488544537555,2741.5610153421635,11560.583792354051,6802.933289569133,18831.064131370174,47796.58665328324,0.7206117278545119,1.4285714285714286
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.517626390468,0.2841212420487991,2153.6364438168303,2251.5606390436087,760.0947467354267,11796.467050099582,1.7047836816221236,4392.825168825254,4464.924800714369,7.930054023069663,1443.440673483327,0.007341973394204949,500.41739608711976,571.0908599352241,4173.445943470031,17611.112995949185,41.27711003255009,6826.426946189252,6490.123445814919,13626.582703613305,13999.182606190248,1200,6531.047033591699,4136.824970981844,19189.38716929672,24878.741227963823,2762.9457074428474,11354.39710877629,6721.87259929741,18826.65922938287,47753.372425887384,0.7218294565903499,1.6428571428571428
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.506270241481,0.2841212420487991,2143.6996608304926,2245.759845274393,760.0946203094018,11792.717670570019,1.7047836713687328,4372.614741549318,4453.386271869116,7.927756555320803,1441.0611046595195,0.00734197334953794,498.3128372625571,569.5526367800904,4171.587352448404,17583.138121021668,41.251981968616214,6793.6044707391975,6471.363851977157,13622.222398279837,13994.320805139503,1200,6515.313617471291,4142.317378353602,18684.490130635793,24371.949465674083,2779.7512201757168,11112.770096691527,6628.823776434311,18820.437909134,47688.55002729752,0.7227575360335329,1.8571428571428572
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.396047098685,0.2841212420487991,2132.4880818039337,2237.577015299353,760.0943396107665,11784.386536981712,1.7047836485304575,4349.811511598488,4437.158464377478,7.924560953601604,1437.7397733093521,0.007341973250047196,495.8063846916746,567.4892623618873,4169.310437734573,17543.880425095962,41.218450934587416,6756.599153140329,6446.0053936508075,13615.952305849676,13987.265459116514,1200,6497.3284509351915,4146.541942360674,18123.868287487414,23808.929580917746,2791.889170535797,10844.986828146884,6527.859241694718,18811.887425689652,47595.921793520705,0.7233295884721,2.071428571428571
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946512,5879.212888653918,0.2841212420487991,2120.0589593692403,2226.9514716716285,760.0937061155867,11766.755962052823,1.7047835968904779,4324.531926809675,4416.064111576579,7.920215671530685,1433.2614328256846,0.007341973025087131,492.9251376137229,564.87560500568,4166.538908665241,17489.12396716347,41.176100224603026,6715.593405617714,6413.738525716555,13606.91694119834,13977.018999167747,1200,6476.869259063162,4148.907830876928,17520.24803957257,23202.27408610817,2802.595799347901,10557.975298392837,6422.240761633878,18800.075553191735,47465.681385728676,0.7235000546123367,2.2857142857142856
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.267728939465,5866.147910433662,0.2841212420487991,2106.348409299643,2213.6925338981696,760.0921577950429,11728.027234733656,1.7047834705362812,4296.646058710888,4389.702024300736,7.914260706257515,1427.2475164064938,0.00734197247464752,489.66330588894624,561.6615135307263,4163.113544645335,17411.463930217462,41.12512748455239,6670.390730434,6373.949317055629,13593.492363212614,13961.699419325338,1200,6453.318404020786,4148.516696711066,16886.354334272117,22564.426227409604,2812.421387437732,10258.461426586977,6315.047563511956,18783.218107900288,47281.39313947167,0.7232280213413738,2.5
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.2677289394633,5808.105437242721,0.2841212420487991,2091.4227095212764,2197.899073347113,760.0882855907133,11649.983376495957,1.7047831569838654,4266.288724001223,4358.271564717581,7.906171453085782,1419.3672868753858,0.007341971108714132,486.05131681385234,557.8659560266836,4158.832960315966,17303.15267562684,41.06584535443295,6621.2464506207525,6326.927207597588,13573.483539960056,13938.788277836742,1200,6426.124139273346,4144.362302769509,16245.654449756486,21918.44833157872,2821.5707056901415,9957.742640044544,6210.544523375549,18758.916738860855,47027.07357824797,0.7225372729594094,2.7142857142857144
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893943678,5740.264467912447,0.2841212420487991,2075.472202101771,2179.9806886090205,760.0787324531109,11526.387598160016,1.7047823913046503,4233.847092973218,4322.59657290861,7.89544244945202,1409.4372453905808,0.007341967773174375,482.1535101802709,553.5799593667348,4153.444081278341,17160.151584794636,40.99947736732129,6568.855004988343,6273.918180806549,13544.392516633998,13905.469979422733,1200,6394.904584124469,4135.524750502294,15628.426712663757,21294.06612208564,2830.158983843881,9669.569541066223,6112.868643025353,18724.41655435591,46693.6747321892,0.7215226155946747,2.9285714285714284
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893906062,5676.308417646909,0.2841212420487991,2058.693548472813,2160.4197761991873,760.0557837281656,11398.924010964125,1.7047805624375507,4199.721232961733,4283.685811439899,7.881516197318798,1397.4859453524377,0.0073419598060514785,478.0357568948429,548.9156505632559,4146.570966475611,16986.119018393405,40.926834165363665,6513.9667453760385,6216.487449092192,13503.486946139077,13858.75993107092,1200,6359.350164608206,4121.246283036082,15063.158465250895,20718.919874889612,2838.2646691823943,9406.540344966925,6024.479407582314,18676.600994080807,46275.832959759384,0.7203121998012147,3.142857142857143
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893564183,5616.814100842335,0.2841212420487991,2041.4887780529887,2140.0369691815686,760.0083564962647,11279.728292656891,1.7047768006611461,4164.728943018545,4243.20716858265,7.864465494918296,1384.2424759907294,0.007341943418564968,473.81302866403536,544.0600908343347,4138.030510474826,16804.464030601,40.84827459889972,6457.953037870761,6157.08186299458,13450.69089423086,13800.048751707496,1200,6320.234174642149,4102.067635152558,14565.807544028059,20208.468765511607,2845.944768311542,9175.295750214087,5945.626103901224,18615.200008234082,45837.89458822785,0.7190579947136653,3.357142857142857
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772891691215,5560.375492635794,0.2841212420487991,2024.2530791878023,2119.5630158147746,759.9267532403118,11166.647465524984,1.7047703428922576,4129.6740941279695,4202.605747281877,7.8448968655891,1370.6924402125344,0.00734191528648343,469.5910868457444,539.1767453115468,4127.934575986049,16637.341812447205,40.754505304395714,6402.086800598482,6097.7345222121885,13388.447849141903,13731.916321513158,1200,6278.907288170116,4079.396432166059,14134.163391893717,19855.16006150105,2853.2458376315763,8974.392455855643,5874.835344674917,18542.75985675234,45424.45023306858,0.7178556257124181,3.571428571428571
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772884727635,5506.687758605019,0.2841212420487991,2007.238716506761,2099.425521533841,759.8048023000778,11059.075114160161,1.7047607012406358,4095.0698293018954,4162.708013425858,7.823468538903041,1357.5160027783697,0.0073418732844027935,465.4344143055443,534.3609321309142,4116.523100629249,16478.337240738,40.6435775434336,6347.14546419621,6039.567646467998,13319.581783847212,13656.716610284173,1200,6236.5072109392895,4054.5392970015596,13758.316830105536,19677.354523805974,2860.205409629703,8799.131511354422,5810.399988799368,18462.33893676429,45031.08756469194,0.7167405908127943,3.7857142857142856
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772864936763,5455.490735341499,0.2841212420487991,1990.5814182415716,2079.832236148025,759.6391932963193,10956.48796716354,1.704747612286067,4061.1922394199,4123.907174892071,7.800704689473444,1344.9305122751277,0.007341816264781383,461.37614296777275,529.6597829502973,4104.041493188505,16326.680784624914,40.531196668722586,6293.527513974146,5983.095050142896,13246.359578484797,13576.998692414329,1200,6193.800425965316,4028.4278770967253,13428.100386786437,19511.692025139026,2802.7986000389806,8644.820109766368,5750.971144349213,18376.446750910036,44655.89424969379,0.7157188501434056,4.0
